nomdepto,codigohabilitacion,nombre,nitsnit,direccion,email
Antioquia,504510104,ORTOCLINICAS DE URABA S.A. ORTOESPECIALISTAS,900175791,carrera 100 No. 95 - 12 piso 2,ramijarama@hotmail.com
Antioquia,504513197,Promotora Clinica Zona Franca de Uraba SAS,900390423,KR 100 # 43-770 LT C101,info@clinpanamericana.com
Antioquia,504502098,PROSALUD S.A.S.,800091462,CRA 100 # 95-23,gerencia@ipsprosalud.com/ calidad@ipsprosalud.com
Antioquia,504508091,SALUD DARIEN I.P.S. S.A.,811045925,CL 100 # 94 A - 30 / 42,saluddarien@edatel.net.co
Antioquia,504511840,SOCIEDAD URABAENSE DE MEDICINA ESPECIALIZADA SUME SALUD S.A.S. IPS,900433134,KR 98 #103 - 79,jackzurita@hotmail.com
Antioquia,504514141,SOLUCIONES INTEGRALES DE SALUD POLOSALUD S.A.S,900436203,CALLE 103 97-151,polosalud@hotmail.com
Antioquia,504510259,SONOIMAGENES S.A.S.,900172401,KR 99 #97-18,sonoimagenesltda@hotmail.com
Antioquia,504508671,UNLAB S.A.S,900021323,CL 103 # 97 80,secretaria@unlab.org
Antioquia,504512253,URAMEDICOS S.A.S.,900497151,KR 98 # 103-29/37,uramedicos@gmail.com
Antioquia,504512420,VISION TOTAL S.A.S,830504734,CALLE 103 # 97- 54 LOCAL 106 SALUD PLAZA BARRIO LA CHINITA,visiontotaleu@yahoo.es
Antioquia,505102323,ESE HOSPITAL PEDRO NEL CARDONA DE ARBOLETES,890982134,BARRIO EL DEPORTIVO,arbohs01@edatel.net.co
Antioquia,505505479,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,890981851,CL 31 # 32 -14,argeh01@edatel.net.co
Antioquia,505905506,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,890982153,CL 11 # 6-69,armehs01@edatel.netco
Antioquia,507909669,"""FUNDACIÓN LA LUZ - CENTRO NACIONAL PARA EL TRATAMIENTO DE LA DROGADICCIÓN""",811004956,CL 16 AA SUR # 25 55,informacionlaluz@yahoo.com
Antioquia,507904077,ESE HOSPITAL SAN VICENTE DE PAUL,890905193,KR 17 # 10 - 34,esebarbosa@une.net.co
Antioquia,507916048,IMÁGENES ECORAY IPS S.A.S,901062552,Carrera 15 No 10 30,imagenesecoray@hotmail.com
Antioquia,507909878,IPS CASA DE LA SALUD BARBOSA S.A.S.,900160035,CL 15 # 13 - 43,casadelasaludbarbosa@hotmail.com
Antioquia,508808049,ASOCIACION SOCIAL POPULAR ASOP,800136782,AV 42 # 61 A 10,asopsalud@gmail.com
Antioquia,508804262,COOMEVA EPS INTEGRADOS IPS LTDA.,811013278,CALLE 46 N° 49-146 PISO 1 Y 4 EDIFICIO COTRAFA,gerencia@integradosips.com
Antioquia,508813399,DENTIPLAN CARE INVESTMENTS,900703821,KRA 49 # 46-34,administracion@dentiplan.com.co
Antioquia,508805042,DENTOTAL S.A.S,811007847,AK 50 # 50 - 15 OF 317,dentotal@une.net.co
Antioquia,508811752,DIALY-SER S.A.S,900231793,AV 38 # DG 59-50 LC 3,paula.jimenez@dialy-ser.com
Antioquia,508804909,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,800174995,CL 54 N. 56 A 11,gestiondocumental@esebellosalud.gov.co
Antioquia,508805618,ESE HOSPITAL MARCO FIDEL SUAREZ,890985703,CL 44 # 49B-90,gerencia@hmfs.com.co
Antioquia,508804734,ESE HOSPITAL MENTAL DE ANTIOQUIA,890905166,CALLE 38 No 55-310 BARRIO SANTA ANA,elkincardona@homo.gov.co
Antioquia,508810819,ESPECIALIDADES MEDICAS METROPOLITANAS S.A,900226451,AV 34 # 51 - 03,contactenos@emmsa.com.co
Antioquia,508811315,FARMILENIO DISTRIBUIDORA S.A.S,900276318,KR 74 #30 B- 40,ipsfarmilenio@hotmail.com
Antioquia,508811823,Fundación Clinica del Norte,900421895,Av 38 Dg 59 50,calidad@clinicadelnorte.org
Antioquia,508812151,HOLISTICO IPS S.A.S,900490144,CL 51 # 53 - 21,pato782002@yahoo.es
Antioquia,508810323,I.P.S. FISINOVA S.A.S,900217078,KR 51 # 33-29,fernando.celis@fisinova.com
Antioquia,508811579,INVERSIONES GACAVIT LIMITADA,900375863,KR 49 # 46 - 03,gerente.bello@dentisalud.com.co
Antioquia,508811215,IPS Integral Salud Antioquia SAS,900347759,Calle 49 #52-03 - Barrio:Barrio Central,ipsintegralsaludantioquia@gmail.com
Antioquia,508804645,ORAL CENTER TRONCOSO PAFFEN S.A.S,811002691,DG 55 # 35 217 LC 138,oralcentercalidad@gmail.com
Antioquia,508813356,ORALIS S.A.S,900678253,cl 55 # 48-09,oralismedellin@gmail.com
Antioquia,508810748,SALUD MEDILAB SAS,900276399,CL 47 # 48-47,smedilab@hotmail.com
Antioquia,508810559,URGENCIAS DEL NORTE DE BELLO SAS,900203364,CL 47 # 48 - 37,urgenciasdelnorte@hotmail.com
Antioquia,508605507,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,890982065,KR 19# 19 93,gerencia@esehospital-belmira-antioquia.gov.co
Antioquia,509104572,ESE HOSPITAL SAN ANTONIO,890981494,CALLE 20 No. 26 -173,betahs01@gmail.com
Antioquia,509302371,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,890982116,CL 21 # 15 - 20 SALIDA A MEDELLIN,esebetulia@gmail.com
Antioquia,510702311,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,800044320,CL 11 # 8 - 31,brichs01@edatel.net.co
Antioquia,511313598,CENTRO SALUD BURITICA S.A.S,900732755,CL 8 # 3 - 168,centrosaludburitica@gmail.com
Antioquia,511305596,ESE HOSPITAL SAN ANTONIO,890983843,Calle 8 Nro. 3-56,burihs01@edatel.net.co
Antioquia,512005547,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,890982430,KR 50 # 52-48,hospitalcaceres@gmail.com
Antioquia,512012231,IPS SAEM SALUD S.A.S.,900494090,CL 10 # 10-20,ipssaemsalud@gmail.com
Antioquia,512508313,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,800037244,CRA 5 # 3-23,gerencia@hospitalcaicedo.gov.co
Antioquia,512902146,ESE HOSPITAL SAN VICENTE DE PAÚL,890907215,Cra 48 No. 135 Sur - 41,hospv@medellín.insapt.net.co
Antioquia,512907875,LABORATORIO CLINICO DEL SUR LIMITADA,811040009,CALLE 135 SUR # 48 - 46,labclinicocaldas@hotmail.com
Antioquia,512902395,POLICLINICO SUR S A,890931976,CRA 51 # 130 SUR-73,policlinicosur@epm.net.co
Antioquia,512914374,SALUD Y MUJER IPS S. A. S.,900868993,KR 25A # 1A SUR 45 TO MEDICA CS 1632,gerenciaipssogos@une.net.co
Antioquia,513405930,ESE HOSPITAL LA SAGRADA FAMILIA,890985457,CALLE BOLIVAR No. 15-07,camphs01@edatel.net.co
Antioquia,513804914,ESE HOSPITAL SAN CARLOS,890980784,KR 31 # 33 - 140,canahs01@edatel.net.coesehsc@edatel.net.co
Antioquia,514204103,E.S.E. HOSPITAL SAN PIO X,890981266,CL 21# 20-32,gerencia@esesanpioxcaracoli.gov.co
Antioquia,514501585,ESE HOSPITAL SAN ANTONIO,890981163,CARRERA 21 BOLIVAR #16-33,gerenciaesecaramanta@hotmail.com
Antioquia,514715474,CENTRO FISIOTERAPEUTICO FEDRA ALEXANDRA OSPINA SAS,900614725,CL 93 # 95a 40 BARRIO MANZANARES EDF YORSOM,fedraospina@hotmail.com
Antioquia,514706311,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,800227877,CL 70 # 68 - 03,carehs01@gmail.com
Antioquia,514713508,LOGISTICA MEDICABASICA Y SERVICIOS COMPLEMENTARIOS IPS S.A.S,900731919,CALLE 70 No. 67-01 BARRIO PAPAGAYO,lomebaipssas@hotmail.com
Antioquia,515004584,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890906344,CL 52 B # 54-70,carohs01@edatel.net.co
Antioquia,515415536,ASC EN SALUD TOTAL S.A.S,900737137,CALLE 18 # 10-44B BARRIO EL CENTENARIO,ascensalud@hotmail.com
Antioquia,515415510,BIOMED VIDA IPS S.A.S,900595873,CL 10 # 12-17,biomedips@gmail.com
Antioquia,515411867,cambia tu vida ips sas,900435080,Calle 10 A No. 26-02,cambiatuvidaips@hotmail.com
Antioquia,515403817,CLINICA PAJONAL S.A.S,811002429,DIAGONAL 2OC N° 12-68 BARRIO PAJONAL,gerencia@clinicapajonal.com.co
Antioquia,515410179,CONSULTORIO ODONTOLOGICO VELEZ URIBE S.A.S,811006554,KR 14 # 22-09,
Antioquia,515402201,ESE HOSPITAL CESAR URIBE PIEDRAHITA,890980757,CL 31 KR 18 BARRIO EL PALMAR,gerencia@hcup.gov.co
Antioquia,515416192,I.P.S. SU SALUD INTEGRAL S.A.S.,812002613,CRA 9 No 23-43 - BARRIO KENEDY,eocupacionalcaucasia@gmail.com
Antioquia,515412737,IPS CLINICA PROVIDENCIA SAS,900577773,KR 2 # 17 - 75,ipsclinicaprovidencia@hotmail.com
Antioquia,515413624,IPS ESPERANZAS DE VIDA SAS,900754259,AV LA TAMPA LOTE 47,ipsesperanzasdevida@gmail.com
Antioquia,515414687,IPS FISIOSALUD INTEGRAL S.A.S.,900891534,Calle 24 # 8 - 10,ips.fisiosalud.integral@gmail.com
Antioquia,515415824,IPS SOMEDIZ SAS,901060358,CALLE 22 # 13-45,ipssomediz@gmail.com
Antioquia,515415020,NACERSANO S.A.S,900910031,DG 20 C # 12-68 PISO 4,info@nacersanoips.com
Antioquia,515411132,orosalud caucasia ips s.a.s.,900293903,CR 15 # 21-48 - Barrio:PAJONAL,orosaludcaucasiaips@hotmail.com
Antioquia,515409543,SALUD FAMILIAR SA IPS,802021430,Calle 23 No. 8 - 36 Barrio Kennedy,ananeira@saludfamiliar.com.co
Antioquia,517215199,centro de neuro rehabilitación San Gabriel IPS S.A.S,900388143,Calle 96 # 99a 36,sangabrielips@gmail.com
Antioquia,517206305,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,890980997,KR 108A # 101A - 57,esechigorodo@edatel.net.co
Antioquia,517210757,FUNDACION SOMA,900124689,KR 106 x CL 95,
Antioquia,517212491,Rehabilitamos Consultorios de Fisioterapia IPS SAS,900540137,KR 104 A # 98B -22,rehabilitamoscfips@gmail.com
Antioquia,519005592,Empresa Social del Estado Hospital San Antonio,890980444,CL 18 # 17 - 105,cisnhs01@edatel.net.co
Antioquia,510102139,ESE HOSPITAL LA MERCED,890907241,Calle 49 Nro 36-298,gerencia@hlamerced.gov.co
Antioquia,519705593,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,890981108,CL 21 # 23 45,gerencia@hospitaldecocorna.com
Antioquia,520604780,ESE HOSPITAL JOSE MARIA CORDOBA,890980512,KR 19 # 19-83,hospitalconcepcion@gmail.com
Antioquia,520905819,ESE HOSPITAL SAN JUAN DE DIOS,890907297,Cra. 18 No. 16 - 05,hospitaldeconcordia@hospital-concordia.gov.co
Antioquia,520910997,I.P.S. CENTRO MEDICO CONCORDIA S.A.S.,900313015,CL 20 # 18 -27,japosada@une.net.co
Antioquia,521215179,CENTRO INTEGRAL DE FISIOTERAPIA COPACABANA,900962470,CARRERA 53 # 51-31,cifcopacabana@hotmail.com
Antioquia,521213718,CENTRO INTEGRAL DE REHABILITACION BUCOR IPS S.A.S,900766517,Vereda el Noral finca Santo Coyote,ipsbucor@gmail.com
Antioquia,521212181,"Corporacion para el avance en salud, AVANSALUD",811040364,KR 48 # 50-27,gerencia07@hotmail.com
Antioquia,521202308,ESE HOSPITAL SANTA MARGARITA,890980949,KR 45 # 52-26,secregerencia@santamargarita.gov.co
Antioquia,521211886,Fundación Hogar Nuevo Ser,830084628,VEREDA EL ZARZAL SECTOR LA CHOSCA FINCA LOMA VERDE,hogarnuevoser@hotmail.com
Antioquia,521209785,FUNDACION HOGARES CREAR,800152562,SR VEREDA ZARZAL LA LUZ,hogarescrear7@hotmail.com
Antioquia,521214312,IPS DOMICILIARIA Y AMBULATORIA DEL NORTE S.A.S,900791423,CL 52 N 45 50,ipsdomiciliariadelnortesas@hotmail.com
Antioquia,523402314,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,890984670,KR URIBE URIBE # 622,dabehs01@edatel.net.co
Antioquia,523705948,ESE HOSPITAL FRANCISCO ELADIO BARRERA,890905097,cra 36a 29 55,gerencia@hospitaldonmatias.gov.co
Antioquia,524003744,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890982370,BRR VEREDA FATIMA,hospebejico@gmail.com
Antioquia,525012626,CENTRAL MEDICOQUIRURGICA S.A.S,900322723,CL 50 # 47A-19 PI 2,labclinicocmq@hotmail.com
Antioquia,525002133,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,800138311,CL 50 # 46D-37,bagrhs01@edatel.net.co
Antioquia,525005213,MEDICAUCA LTDA.,811021843,CL 50A # 46B-46,medicaucaltda@gmail.com
Antioquia,514804310,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,890907279,KR 31 # 19 - 58,gerencia@hospitalcarmenv.gov.co
Antioquia,569702427,ESE HOSPITAL SAN JUAN DE DIOS,890980326,CALLE 49 NRO 41 63,cadsant@hospitalelsantuario.gov.co
Antioquia,526403861,BELLSALUD LTDA,811022642,CL 10 No. 10-109,saludocupacional@bellsaludentrerrios.net
Antioquia,526402309,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,890984779,KR 13 # 10 - 36,entrhs01@edatel.net.co
Antioquia,526407859,FAMSALUD LTDA,811043656,CL 10 # 10 - 88,famsalud.ltda@gmail.com
Antioquia,526615642,AVANZAR-ES IPS S.A.S.,900991962,CL 35 SUR # 47 - 52,info@avanzaresips.com
Antioquia,526611672,CAD CENTRO UNIDOS COLOMBIA S.A.S,900370815,CL 32 C SUR # 47 - 65,centro_unidos@yahoo.com
Antioquia,526611433,CITOFEMME IPS S.A.S,900358952,CL 25 SUR # 46-173 INT 101 - Barrio:VILLA GRANDE,administracion@citofemme.com
Antioquia,526611157,CITYLAB S.A.S,900311884,CL 38 SUR # 39-44,citylabsas@gmail.com
Antioquia,526609835,CLINICA DE ESPECIALIDADES OFTALMOLOGICAS S.A,900138758,CL 25 SUR # 46 - 220,gerencia@ceomedellin.com
Antioquia,526604343,CLINICA DE ESPECIALISTAS ENVIGADO,800092616,TV 32A SUR # 32 D 56,cespecialistasenvigado@gmail.com
Antioquia,526609113,Clínica del Sur SAS,890939026,calle 36D Sur # 27A - 105 local 164c,mercadeo@clinicadelsur.com.co
Antioquia,526610545,CLINICA ISIS S.A.S.,900245405,KR 43A # 23 SUR 96,clinicaisis@une.net.co
Antioquia,526609050,Clinica Odonto Sur S.A.S,900050590,KR 48 # 25AA SUR - 70 CS 506,clinica@odontosur.com.co
Antioquia,526611271,CLINICA PLASTICA Y ESTETICA NOVA S.A.S,900326211,KR 48 # 32B SUR 30,agg@une.net.co
Antioquia,526613410,COLPODIAGNOSTICO S.A.S,900713295,KR 48B # 32B SUR 30 CS 501,colpodiagnostico@gmail.com
Antioquia,526608533,DIAGNOSTICO DESARROLLO Y DISTRIBUCION DE BIENES Y SERVICIOS EN EDUCACION SALUD RECREACION CULTURA Y MEDIO AMBIENTE LTDA,800084478,CRA 43 # 38 SUR 13 SEGUNDO PISO,disaludl@yahoo.
Antioquia,526604910,E.S.E. HOSPITAL MANUEL URIBE ANGEL,890906347,DG 31 # 36 A SUR 80,autorizaciones@hospitalmua.com.co
Antioquia,526610958,FUNDACIÓN EL ÁGORA,900193182,CL 35 SUR # 43 - 42,proyectos@elagora.org
Antioquia,526614078,FUNDACION PARA EQUINOTERAPIA TRASCENDER,900792637,CL 26 SUR # 23-03,fundaciontrascendermedellin@gmail.com
Antioquia,526613127,HEMO GROUP S.A.S,900643097,CRA 48 # 34 SUR 10 - Barrio:EL PORTAL,gerencia@hemogroup.com.co
Antioquia,526611970,INVERSIONES ELBO S.A.S,900321655,KR 42 # 35 SUR 55 IN 501,gerencia.cadmax@une.net.co
Antioquia,526612634,INVERSIONES HERMANOS IRAL VELEZ S.A.S,900498485,CL 36 D SUR # 27A - 105 IN 103,gustavoiral@une.net.co
Antioquia,526614620,IPS PLENA ESTETICA Y PLASTICA SAS,900895864,CARRERA 48 #32BSUR-30 CONSULTORIO 310,administracion@ipsplena.com
Antioquia,526608627,LABORATORIO CLINICO BIOREFERENCIA S.A.S.,900017038,KR 66 B # 31 A - 2,administracion@bioreferencia.com
Antioquia,526611469,MEDICAL LEGAL CONSULTING LTDA,830114725,KR 43 A# 48C SUR 45,asesoreslegales_cia@hotmail.com
Antioquia,526614466,MISION ESPERANZA CAD S.A.S.,900867120,VEREDA ARENALES FINCA VILLA ANGELA EL SALADO,info@misionesperanza.com.co
Antioquia,526607919,ORTODIAGNOSTICO S.A.S,800074728,CL 38SUR # 39-30,ortodx@epm.net.co
Antioquia,526606507,SALUD TREC S.A.S,811032818,KR 47 # 35 A sur - 49,saludtrec@saludtrec.com
Antioquia,526611048,SOCIEDADES MARR S.A.S,900310110,KR 43 #35 SUR 13,dentiplanenvigado@gmail.com
Antioquia,526611793,SORYLAD S.A.S,900417039,Tv. 32A SUR No 32D-38,gerencia@odontoss.com
Antioquia,526611894,UNIDAD CIENTIFICA AVANZADA EN MEDICINA ESTETICA IPS S.A.S,900423870,kr 48 # 32 b sur 30 5 PI,chaparro.rodolfo@yahoo.com
Antioquia,526611445,UNIDAD DE ONCOLOGIA HOSPITAL MANUEL URIBE ANGEL DE ENVIGADO - ASTORGA S.A.,900159889,DG 31 # 36 A Sur 80,gerencia@clinac.co
Antioquia,526613971,ZONA SALUD CALIDAD DE VIDA S.A.S,900798111,DG 33 TV 32D SUR 51,zonasaludcv@hotmail.com
Antioquia,528205511,CENTRO MEDICO INTEGRADO DEL SUROESTE LTDA,800222621,CL 48 # 51-17,cemisltda@hotmail.com
Antioquia,528202171,ESE HOSPITAL DE SANTA LUCIA,890980181,CL 69 # 50-220 VEREDA EL EDEN,esefredonia@gmail.com
Antioquia,528402170,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,890906991,KR 27 # 31 - 38,hospifrontino@gmail.com
Antioquia,530604477,ESE HOSPITAL SAN ISIDRO,800193392,CALLE SANTANDER,girahs01@edatel.net.co
Antioquia,530806104,ESE HOSPITAL SAN RAFAEL,890980727,Carrera 16 No. 11-011,"secretaria@hospitalgirardota.com, calidad@hospitalgirardota.com"
Antioquia,530808998,ORAL MEDIC SERVICIOS S A S,900054549,CALLE 9 # 14-106,administrativo@oralmedicips.com
Antioquia,531005015,ESE HOSPITAL SANTA ISABEL,890902151,Carrera 52 48 47,gomehs01@edatel.net.co
Antioquia,531305109,ESE HOSPITAL PADRE CLEMENTE GIRALDO,890981182,CL 21 # 25-02,granhs01@gmail.com
Antioquia,531309633,FUNDACION SOCIAL COOGRANADA,900076161,CL 20 BOLIVAR #21 26,dirsocial@coogranada.org
Antioquia,531504586,ESE HOSPITAL NUESTRA SEÑORA DE GUADALUPE,890981690,KR 50 # 51-12,hospitalguadalupe@gmail.com
Antioquia,531812712,centro de atencion al drogadicto santos angeles s.a.s,900566940,VEREDA EL ROMERAL,cadsantosangelessas@hotmail.es
Antioquia,531806094,CENTRO MEDICO SANTA ANA S.A.S,811038738,CL 52 # 51 - 41,gerencia@centromedicosantaana.com.co
Antioquia,531813144,corporacion Calle's,811034245,vereda isaza parcelacion mercurio,callesopcionlavida@gmail.com
